5 Minutes,Lane 1 Flow (Veh/5 Minutes),# Lane Points,% Observed,SCATS
1/10/2023 0:00,92,1,100,7453
1/10/2023 0:15,24,1,100,7453
1/10/2023 0:30,66,1,100,7453
1/10/2023 0:45,115,1,100,7453
1/10/2023 1:00,1,1,100,7453
1/10/2023 1:15,51,1,100,7453
1/10/2023 1:30,95,1,100,7453
1/10/2023 1:45,21,1,100,7453
1/10/2023 2:00,86,1,100,7453
1/10/2023 2:15,7,1,100,7453
1/10/2023 2:30,97,1,100,7453
1/10/2023 2:45,37,1,100,7453
1/10/2023 3:00,83,1,100,7453
1/10/2023 3:15,46,1,100,7453
1/10/2023 3:30,1,1,100,7453
1/10/2023 3:45,93,1,100,7453
1/10/2023 4:00,8,1,100,7453
1/10/2023 4:15,72,1,100,7453
1/10/2023 4:30,15,1,100,7453
1/10/2023 4:45,90,1,100,7453
1/10/2023 5:00,19,1,100,7453
1/10/2023 5:15,69,1,100,7453
1/10/2023 5:30,8,1,100,7453
1/10/2023 5:45,69,1,100,7453
1/10/2023 6:00,104,1,100,7453
1/10/2023 6:15,33,1,100,7453
1/10/2023 6:30,45,1,100,7453
1/10/2023 6:45,40,1,100,7453
1/10/2023 7:00,2,1,100,7453
1/10/2023 7:15,58,1,100,7453
1/10/2023 7:30,12,1,100,7453
1/10/2023 7:45,118,1,100,7453
1/10/2023 8:00,19,1,100,7453
1/10/2023 8:15,108,1,100,7453
1/10/2023 8:30,59,1,100,7453
1/10/2023 8:45,111,1,100,7453
1/10/2023 9:00,1,1,100,7453
1/10/2023 9:15,37,1,100,7453
1/10/2023 9:30,46,1,100,7453
1/10/2023 9:45,10,1,100,7453
1/10/2023 10:00,103,1,100,7453
1/10/2023 10:15,118,1,100,7453
1/10/2023 10:30,17,1,100,7453
1/10/2023 10:45,72,1,100,7453
1/10/2023 11:00,63,1,100,7453
1/10/2023 11:15,31,1,100,7453
1/10/2023 11:30,83,1,100,7453
1/10/2023 11:45,70,1,100,7453
1/10/2023 12:00,73,1,100,7453
1/10/2023 12:15,86,1,100,7453
1/10/2023 12:30,37,1,100,7453
1/10/2023 12:45,46,1,100,7453
1/10/2023 13:00,20,1,100,7453
1/10/2023 13:15,60,1,100,7453
1/10/2023 13:30,35,1,100,7453
1/10/2023 13:45,89,1,100,7453
1/10/2023 14:00,41,1,100,7453
1/10/2023 14:15,117,1,100,7453
1/10/2023 14:30,71,1,100,7453
1/10/2023 14:45,15,1,100,7453
1/10/2023 15:00,42,1,100,7453
1/10/2023 15:15,26,1,100,7453
1/10/2023 15:30,42,1,100,7453
1/10/2023 15:45,46,1,100,7453
1/10/2023 16:00,69,1,100,7453
1/10/2023 16:15,59,1,100,7453
1/10/2023 16:30,42,1,100,7453
