SCATS Number,Site Description,Site Type,Latitude,Longitude,Neighbours
1025,Scarborough Pickering Townline/Third Concession Rd/Altona Rd/Steeles Ave E,INT,43.83199853,-79.1594897,2911;2473;4608
1049,Ravenscroft Rd/Delaney Dr/Kingston Rd W ,INT,43.86197948,-79.0404045,7557;7952
1245,Rossland Rd W ,INT,43.87644958,-79.0430953,9855
1302,Barry Dr/Rosebank Rd/Sheppard Ave ,INT,43.82049928,-79.12494578,9384;9630
1413,Delaney Dr/Riverside Dr/Rossland Rd W /Whites Rd N,INT,43.86469437,-79.06526609,8818;1843;3021
1431,Third Concession Rd/Rosebank Rd/Fairport Rd/Taunton Rd ,INT,43.85655526,-79.13149051,4013;5412;6823
1521,3rd Concession Rd/Rossland Rd W/Church St N/Delaney Dr ,INT,43.86783767,-79.0828697,1843;3021;8818
1762,Whites Rd N/Finch Ave/Fairport Rd/Third Concession Rd/Rosebank Rd/Dixie Rd ,INT,43.83930185,-79.12450551,9098;7246;1431;4013;9055
1843,Rossland Rd W/3rd Concession Rd/Delaney Dr/Church St N,INT,43.87003303,-79.07321924,1521;8818;3021
2185,Church St N/Brock Rd/Westney Rd N ,INT,43.88876592,-79.070142,7449;5384
2188,Third Concession Rd/Dixie Rd/Whites Rd N,INT,43.86084892,-79.11247868,5418;9055;1431
2222,Whitevale Rd/Scarborough Pickering Townline/Taunton Rd/Sideline 26 ,INT,43.88302633,-79.18214027,4608;4175;7188
2407,5th Concession Rd/Westney Rd/Brock Rd/Taunton Rd W,INT,43.90959363,-79.06492361,8219;7997;5384
2473,Altona Rd/Whites Rd N/Scarborough Pickering Townline/Third Concession Rd ,INT,43.83520394,-79.14451218,1762;1025;2911
2517,Sideline 26/Taunton Rd/Peter Matthews Dr/Sideline 22/Whitevale Rd/Whites Rd,INT,43.87532498,-79.12943947,6823;4530;4286;7188;5715
2688,Kingston Rd W/Elizabeth St/Durham Regional Rd 31,INT,43.85473868,-79.05546947,7453;7952
2911,Third Concession Rd/Taunton Rd/Rosebank Rd/Whites Rd N/Altona Rd ,INT,43.85158398,-79.15145817,4175;4013;1431;2473
3021,Rossland Rd W/Ravenscroft Rd/Riverside Dr,INT,43.87123536,-79.06263587,4008;1843
3201,Altona Rd/Strouds Ln/Littleford St ,INT,43.81792787,-79.13679361,3629;6193
3629,Altona Rd/Twyn Rivers Dr/Sheppard Ave/Finch Ave,INT,43.82292528,-79.13902483,3201;9630;2473
3918,Kingston Rd/Valley Gate/Rougemount Dr/Brookridge Gate ,INT,43.80794858,-79.13220122,4731;8540;9648
4008,Rossland Rd W/Twyn Rivers Dr/Delaney Dr/Durham Regional Rd 31/Westney Rd N,INT,43.87410498,-79.05302573,3021;6208;1245;7557
4013,Rosebank Rd/Altona Rd/Third Concession Rd/Taunton Rd/Finch Ave/Whites Rd N ,INT,43.85403969,-79.141959,1431;2911;4175;9098;1762
4073,Fairport Rd/Sheppard Ave/Kingston Rd/Dixie Rd/Finch Ave/Whites Rd N/Finch Ave,INT,43.82455321,-79.10717253,6766;7932;4521;7246;1762;9055
4175,Altona Rd/Third Concession Rd/Taunton Rd/Rosebank Rd/Whites Rd N,INT,43.85922141,-79.15459199,2911;6823;4013;1431
4238,Talisman Manor /Peter Matthews Dr/Taunton Rd/Whitevale Rd ,INT,43.88685835,-79.11258947,4286;4530;5275
4286,Taunton Rd/Peter Matthews Dr/Whitevale Rd/Talisman Manor /Sideline 26/Whites Rd,INT,43.87973841,-79.10974499,4530;5275;4238;7188;5715
4521,Kingston Rd/Durham Regional Rd 29/Fairport Rd/Dixie Rd ,INT,43.82885921,-79.0986476,9053;4073;9055
4530,Taunton Rd/Sideline 22/Talisman Manor /Whitevale Rd ,INT,43.87897204,-79.11256599,4286;4238;5275
4608,Scarborough Pickering Townline/Taunton Rd/Whitevale Rd/Finch Ave E,INT,43.85557947,-79.17014403,4175;2222;1025
4731,Valley Gate/Brookridge Gate/Kingston Rd/Rougemount Dr/Littleford St ,INT,43.81062592,-79.13332202,9648;3918;8540;6193
5275,Whitevale Rd/Talisman Manor /Sideline 26/Whites Rd/5th Concession Rd ,INT,43.89764112,-79.11779275,4238;7188;5715;7997
5384,Westney Rd N/5th Concession Rd/Church St N ,INT,43.89378166,-79.05031343,2407;2185;12454008
5412,Third Concession Rd/Whites Rd N/Dixie Rd/Taunton Rd/Fairport Rd/Finch Ave/Whites Rd N ,INT,43.85870481,-79.12210447,1431;2188;6823;7246;9055;1762
5715,Whitevale Rd/Sideline 26/Taunton Rd/Peter Matthews Dr,INT,43.89316371,-79.13673792,7188;2517;5275
5919,Brock Rd/Kingston Rd W ,INT,43.84811919,-79.07408526,9315;7453
6193,Littleford St/Altona Rd/Rougemount Dr/Valley Gate ,INT,43.81585178,-79.13556514,3201;8540;4731
6208,Delaney Dr/Rossland Rd W/Westney Rd N,INT,43.87003806,-79.05141454,4008;7557
6766,Whites Rd N/Barry Dr/Kingston Rd/Rosebank Rd/Fairport Rd ,INT,43.82222215,-79.11691895,1302;7932;9384;4073
6823,Taunton Rd/Third Concession Rd/Rosebank Rd/Altona Rd,INT,43.8696675,-79.14037221,1431;4013;4175
7188,Sideline 26/Whitevale Rd/Taunton Rd/Whitevale Rd ,INT,43.89197415,-79.1363367,5275;2517;5715
7246,Fairport Rd/Whites Rd N/Dixie Rd ,INT,43.84130092,-79.1147613,1762;9055
7449,Brock Rd/5th Concession Rd/Church St N/Taunton Rd/Talisman Manor,INT,43.88721809,-79.09102054,7997;2185;4286;4238
7453,Kingston Rd W/Church St N /Brock Rd ,INT,43.85338894,-79.06083191,2688;5919
7557,Westney Rd N/Ravenscroft Rd/Delaney Dr/Rossland Rd W ,INT,43.86679987,-79.03911927,1049;6208;1245
7932,Kingston Rd/Whites Rd N/Fairport Rd ,INT,43.81906427,-79.11547551,6766;4073
7952,Durham Regional Rd 31/Ravenscroft Rd/Kingston Rd W ,INT,43.85781523,-79.04190756,1049;2688
7997,5th Concession Rd/Whitevale Rd/Talisman Manor /Brock Rd ,INT,43.90236144,-79.09706614,5275;4238;7449
8219,5th Concession Rd/Greenwood Rd/Westney Rd N/Church St N ,INT,43.91141144,-79.05791726,2407;5384;2185
8540,Rougemount Dr/Brookridge Gate/Valley Gate/Kingston Rd ,INT,43.81070465,-79.12971612,9648;4731;3918
8818,Riverside Dr/Rossland Rd W/Elizabeth St/Delaney Dr/Church St N/Kingston Rd W ,INT,43.86132152,-79.06946558,1843;7453;1413;3021;2688
9053,Durham Regional Rd 29/Kingston Rd/Dixie Rd ,INT,43.83587194,-79.09038476,4521;9055
9055,Finch Ave/Dixie Rd/Fairport Rd/Third Concession Rd/Whites Rd N/Third Concession Rd ,INT,43.84345515,-79.1047382,2188;7246;5412;1762;1431
9098,Rosebank Rd/Finch Ave/Whites Rd N/Rosebank Rd /Altona Rd/Third Concession Rd ,INT,43.83729457,-79.13427113,2473;1762;4013;2911;1431
9135,Finch Ave/3rd Concession Rd/Brock Rd ,INT,43.85018448,-79.07541514,1521;5919
9384,Rosebank Rd/Barry Dr/Sheppard Ave/Whites Rd N/Littleford St/Twyn Rivers Dr/Altona Rd ,INT,43.82008425,-79.12703261,1302;9630;6766;6193;3201;3629
9630,Sheppard Ave/Rosebank Rd/Barry Dr/Twyn Rivers Dr/Altona Rd/Littleford St ,INT,43.81942925,-79.13004982,9384;1302;3201;3629;6193
9648,Brookridge Gate/Valley Gate/Kingston Rd/Rougemount Dr ,INT,43.8111465,-79.13192948,4731;3918;8540
