5 Minutes,Lane 1 Flow (Veh/5 Minutes),# Lane Points,% Observed,SCATS
1/10/2023 0:00,67,1,100,4521
1/10/2023 0:15,89,1,100,4521
1/10/2023 0:30,90,1,100,4521
1/10/2023 0:45,47,1,100,4521
1/10/2023 1:00,31,1,100,4521
1/10/2023 1:15,16,1,100,4521
1/10/2023 1:30,71,1,100,4521
1/10/2023 1:45,70,1,100,4521
1/10/2023 2:00,18,1,100,4521
1/10/2023 2:15,76,1,100,4521
1/10/2023 2:30,98,1,100,4521
1/10/2023 2:45,28,1,100,4521
1/10/2023 3:00,18,1,100,4521
1/10/2023 3:15,98,1,100,4521
1/10/2023 3:30,97,1,100,4521
1/10/2023 3:45,25,1,100,4521
1/10/2023 4:00,84,1,100,4521
1/10/2023 4:15,77,1,100,4521
1/10/2023 4:30,98,1,100,4521
1/10/2023 4:45,17,1,100,4521
1/10/2023 5:00,16,1,100,4521
1/10/2023 5:15,7,1,100,4521
1/10/2023 5:30,109,1,100,4521
1/10/2023 5:45,36,1,100,4521
1/10/2023 6:00,18,1,100,4521
1/10/2023 6:15,26,1,100,4521
1/10/2023 6:30,27,1,100,4521
1/10/2023 6:45,29,1,100,4521
1/10/2023 7:00,6,1,100,4521
1/10/2023 7:15,99,1,100,4521
1/10/2023 7:30,15,1,100,4521
1/10/2023 7:45,41,1,100,4521
1/10/2023 8:00,55,1,100,4521
1/10/2023 8:15,17,1,100,4521
1/10/2023 8:30,109,1,100,4521
1/10/2023 8:45,96,1,100,4521
1/10/2023 9:00,61,1,100,4521
1/10/2023 9:15,7,1,100,4521
1/10/2023 9:30,26,1,100,4521
1/10/2023 9:45,99,1,100,4521
1/10/2023 10:00,4,1,100,4521
1/10/2023 10:15,96,1,100,4521
1/10/2023 10:30,13,1,100,4521
1/10/2023 10:45,65,1,100,4521
1/10/2023 11:00,66,1,100,4521
1/10/2023 11:15,112,1,100,4521
1/10/2023 11:30,45,1,100,4521
1/10/2023 11:45,94,1,100,4521
1/10/2023 12:00,18,1,100,4521
1/10/2023 12:15,49,1,100,4521
1/10/2023 12:30,47,1,100,4521
1/10/2023 12:45,68,1,100,4521
1/10/2023 13:00,41,1,100,4521
1/10/2023 13:15,74,1,100,4521
1/10/2023 13:30,76,1,100,4521
1/10/2023 13:45,44,1,100,4521
1/10/2023 14:00,97,1,100,4521
1/10/2023 14:15,14,1,100,4521
1/10/2023 14:30,89,1,100,4521
1/10/2023 14:45,47,1,100,4521
1/10/2023 15:00,112,1,100,4521
1/10/2023 15:15,117,1,100,4521
1/10/2023 15:30,105,1,100,4521
1/10/2023 15:45,29,1,100,4521
1/10/2023 16:00,112,1,100,4521
1/10/2023 16:15,81,1,100,4521
1/10/2023 16:30,86,1,100,4521
1/10/2023 16:45,106,1,100,4521
1/10/2023 17:00,28,1,100,4521
1/10/2023 17:15,10,1,100,4521
1/10/2023 17:30,36,1,100,4521
1/10/2023 17:45,29,1,100,4521
1/10/2023 18:00,67,1,100,4521
1/10/2023 18:15,10,1,100,4521
1/10/2023 18:30,110,1,100,4521
1/10/2023 18:45,3,1,100,4521
1/10/2023 19:00,119,1,100,4521
1/10/2023 19:15,34,1,100,4521
1/10/2023 19:30,71,1,100,4521
1/10/2023 19:45,15,1,100,4521
1/10/2023 20:00,33,1,100,4521
1/10/2023 20:15,43,1,100,4521
1/10/2023 20:30,48,1,100,4521
1/10/2023 20:45,42,1,100,4521
1/10/2023 21:00,72,1,100,4521
1/10/2023 21:15,61,1,100,4521
1/10/2023 21:30,99,1,100,4521
1/10/2023 21:45,34,1,100,4521
1/10/2023 22:00,41,1,100,4521
1/10/2023 22:15,17,1,100,4521
1/10/2023 22:30,97,1,100,4521
1/10/2023 22:45,50,1,100,4521
1/10/2023 23:00,9,1,100,4521
2/10/2023 0:00,24,1,100,4521
2/10/2023 0:15,57,1,100,4521
2/10/2023 0:30,40,1,100,4521
2/10/2023 0:45,45,1,100,4521
2/10/2023 1:00,85,1,100,4521
2/10/2023 1:15,113,1,100,4521
2/10/2023 1:30,15,1,100,4521
2/10/2023 1:45,71,1,100,4521
2/10/2023 2:00,12,1,100,4521
2/10/2023 2:15,118,1,100,4521
2/10/2023 2:30,29,1,100,4521
2/10/2023 2:45,92,1,100,4521
2/10/2023 3:00,29,1,100,4521
2/10/2023 3:15,3,1,100,4521
2/10/2023 3:30,45,1,100,4521
2/10/2023 3:45,26,1,100,4521
